URL,Título,Fecha,Total Patrones,Puntuación de Severidad,Confirmshaming,Preselección,Cargos Ocultos,Difícil Cancelación,Publicidad Engañosa,Falsa Urgencia,Interfaz Confusa
https://www.ryanair.com,Official Ryanair website | Cheap flights in Europe | Ryanair,2025-04-10T10:11:56.493644,0,0,0,0,0,0,0,0,0
https://www.facebook.com,Facebook - log in or sign up,2025-04-10T10:11:56.493685,1,0,0,0,0,1,0,0,0
